Row ID,Row Title,design,implementation,test,document
REQ-013,REQ-013 — Role-based relation validation,ARC-001: ARC-001 — Project scope and architectural goals; ARC-003: ARC-003 — Processing flow during Antora build; ARC-004: ARC-004 — Key architectural decisions and their rationale,,TST-005: TST-005 — Graph and API Tests,
REQ-014,REQ-014 — Directional relation checking,ARC-003: ARC-003 — Processing flow during Antora build,,TST-005: TST-005 — Graph and API Tests,
REQ-015,REQ-015 — Error messages list allowed relations,ARC-004: ARC-004 — Key architectural decisions and their rationale,,TST-005: TST-005 — Graph and API Tests,
REQ-016,REQ-016 — Warnings for unknown roles,ARC-003: ARC-003 — Processing flow during Antora build,,TST-005: TST-005 — Graph and API Tests,
REQ-017,REQ-017 — Graceful degradation for unknown roles,ARC-003: ARC-003 — Processing flow during Antora build,,TST-005: TST-005 — Graph and API Tests,
REQ-058,REQ-058 — Circular reference detection,ARC-028: ARC-028 — Circular reference detection in graph validation,,TST-005: TST-005 — Graph and API Tests,
REQ-018,REQ-018 — Built-in preset configurations,ARC-001: ARC-001 — Project scope and architectural goals; ARC-004: ARC-004 — Key architectural decisions and their rationale,,TST-004: TST-004 — ConfigLoader Tests,
REQ-019,REQ-019 — Each preset contains complete configuration,ARC-012: ARC-012 — Preset YAML schema,,TST-004: TST-004 — ConfigLoader Tests,
REQ-020,REQ-020 — Each preset includes documentation,ARC-012: ARC-012 — Preset YAML schema,,TST-004: TST-004 — ConfigLoader Tests,
REQ-021,REQ-021 — Each preset includes Neo4j Cypher queries,ARC-012: ARC-012 — Preset YAML schema,,TST-004: TST-004 — ConfigLoader Tests,
REQ-022,REQ-022 — Presets have independent versioning,ARC-012: ARC-012 — Preset YAML schema,,TST-004: TST-004 — ConfigLoader Tests,
REQ-023,REQ-023 — Users can define custom presets,ARC-012: ARC-012 — Preset YAML schema,,TST-004: TST-004 — ConfigLoader Tests,
REQ-024,REQ-024 — Neo4j CSV export,ARC-001: ARC-001 — Project scope and architectural goals; ARC-002: ARC-002 — Component-level architecture; ARC-022: ARC-022 — Graph-to-Neo4j CSV and Cypher export; ARC-004: ARC-004 — Key architectural decisions and their rationale,,TST-007: TST-007 — Neo4jExporter Tests,
REQ-025,REQ-025 — Neo4j Cypher export,ARC-002: ARC-002 — Component-level architecture; ARC-022: ARC-022 — Graph-to-Neo4j CSV and Cypher export,,TST-007: TST-007 — Neo4jExporter Tests,
REQ-026,REQ-026 — Export command in CLI,ARC-023: ARC-023 — Commander-based CLI with subcommands,,TST-003: TST-003 — CLI Tests,
REQ-027,REQ-027 — Export includes all item attributes,ARC-022: ARC-022 — Graph-to-Neo4j CSV and Cypher export,,TST-007: TST-007 — Neo4jExporter Tests,
REQ-028,REQ-028 — Export is optional,ARC-022: ARC-022 — Graph-to-Neo4j CSV and Cypher export; ARC-004: ARC-004 — Key architectural decisions and their rationale,,TST-007: TST-007 — Neo4jExporter Tests,
REQ-029,REQ-029 — Configurable matrix generation with coverage calculations,ARC-002: ARC-002 — Component-level architecture; ARC-019: ARC-019 — Config-driven matrix generation with coverage calculations; ARC-003: ARC-003 — Processing flow during Antora build; ARC-004: ARC-004 — Key architectural decisions and their rationale,,TST-001: TST-001 — Core Extension Tests; TST-006: TST-006 — MatrixGenerator Tests,
REQ-030,REQ-030 — Role statistics reporting,,,TST-001: TST-001 — Core Extension Tests,
REQ-031,REQ-031 — Graph path finding,,,TST-005: TST-005 — Graph and API Tests,
REQ-032,REQ-032 — Impact analysis,,,TST-005: TST-005 — Graph and API Tests,
REQ-033,REQ-033 — Graph merge,,,TST-005: TST-005 — Graph and API Tests,
REQ-034,REQ-034 — Mustache template rendering,ARC-002: ARC-002 — Component-level architecture; ARC-020: ARC-020 — Mustache template rendering for HTML output; ARC-004: ARC-004 — Key architectural decisions and their rationale,,TST-001: TST-001 — Core Extension Tests,
REQ-035,REQ-035 — Antora extension integration,ARC-001: ARC-001 — Project scope and architectural goals; ARC-003: ARC-003 — Processing flow during Antora build,,TST-002: TST-002 — Antora Extension Tests,
REQ-036,REQ-036 — CLI commands,ARC-001: ARC-001 — Project scope and architectural goals; ARC-023: ARC-023 — Commander-based CLI with subcommands,,TST-003: TST-003 — CLI Tests,
REQ-037,REQ-037 — Matrix row items are clickable links,ARC-021: ARC-021 — Path resolution for matrix-to-item links,,TST-006: TST-006 — MatrixGenerator Tests,
REQ-038,REQ-038 — Matrix cell items are clickable links,ARC-021: ARC-021 — Path resolution for matrix-to-item links,,TST-006: TST-006 — MatrixGenerator Tests,
REQ-039,REQ-039 — Source file tooltips on matrix links,ARC-021: ARC-021 — Path resolution for matrix-to-item links,,TST-006: TST-006 — MatrixGenerator Tests,
REQ-040,REQ-040 — Context-aware link generation,ARC-021: ARC-021 — Path resolution for matrix-to-item links,,TST-002: TST-002 — Antora Extension Tests,
REQ-041,REQ-041 — Source file path normalization,ARC-021: ARC-021 — Path resolution for matrix-to-item links,,,
REQ-042,REQ-042 — Backward compatibility without LinkResolver,ARC-021: ARC-021 — Path resolution for matrix-to-item links,,TST-006: TST-006 — MatrixGenerator Tests,
REQ-043,REQ-043 — Non-HTML matrix outputs unchanged,ARC-021: ARC-021 — Path resolution for matrix-to-item links,,TST-006: TST-006 — MatrixGenerator Tests,
REQ-044,REQ-044 — traceability:outgoing[] renders outgoing links,ARC-024: ARC-024 — traceability:outgoing[] and traceability:incoming[] link rendering,,TST-002: TST-002 — Antora Extension Tests,
REQ-055,REQ-055 — traceability:incoming[] renders incoming links,ARC-024: ARC-024 — traceability:outgoing[] and traceability:incoming[] link rendering,,TST-002: TST-002 — Antora Extension Tests,
REQ-045,REQ-045 — Opt-in via AsciiDoc attribute,ARC-024: ARC-024 — traceability:outgoing[] and traceability:incoming[] link rendering,,TST-002: TST-002 — Antora Extension Tests,
REQ-046,REQ-046 — Inline macros are pure data markers,ARC-024: ARC-024 — traceability:outgoing[] and traceability:incoming[] link rendering,,TST-008: TST-008 — Relationship Link Substitution Tests,
REQ-047,REQ-047 — Configurable display style,ARC-024: ARC-024 — traceability:outgoing[] and traceability:incoming[] link rendering,,TST-002: TST-002 — Antora Extension Tests,
REQ-048,REQ-048 — Configurable sort order,ARC-024: ARC-024 — traceability:outgoing[] and traceability:incoming[] link rendering,,TST-002: TST-002 — Antora Extension Tests,
REQ-050,REQ-050 — Source files never modified,,,TST-002: TST-002 — Antora Extension Tests,
REQ-051,REQ-051 — Relationship graph via traceability:graph[] macro,ARC-025: ARC-025 — traceability:graph[] and traceability:graph-coverage[] visualization macros,,TST-002: TST-002 — Antora Extension Tests,
REQ-052,REQ-052 — Coverage chart via traceability:graph-coverage[] macro,ARC-025: ARC-025 — traceability:graph[] and traceability:graph-coverage[] visualization macros,,TST-002: TST-002 — Antora Extension Tests,
REQ-053,REQ-053 — Graph visualization methods on TraceabilityGraph,ARC-026: ARC-026 — GraphViz DOT and Vega-Lite serialization methods,,TST-005: TST-005 — Graph and API Tests,
REQ-054,REQ-054 — Dashboard page in example site,,,,
REQ-056,REQ-056 — CLI next-id command returns next available ID,ARC-023: ARC-023 — Commander-based CLI with subcommands,,TST-003: TST-003 — CLI Tests,
REQ-057,REQ-057 — Matrix files synced to component _attachments,ARC-027: ARC-027 — Automatic matrix sync to component _attachments,,TST-002: TST-002 — Antora Extension Tests,
REQ-059,REQ-059 — Items defined in partials are processed,ARC-029: ARC-029 — Partial file processing with source-repo links,,,
QA-055,QA-055 — Zero operational overhead,ARC-016: ARC-016 — Event-driven Antora integration; ARC-013: ARC-013 — ESM module system,,,
QA-056,QA-056 — Configurable without code changes,,,,
QA-057,QA-057 — Fail-fast with clear diagnostics,ARC-018: ARC-018 — Config-driven validation,,,
QA-058,QA-058 — No side effects on source files,ARC-015: ARC-015 — In-memory processing with no side effects,,,
QA-059,QA-059 — Testability by design,ARC-014: ARC-014 — Dependency injection by constructor,,,
QA-060,QA-060 — PDF compatibility of generated output,ARC-024: ARC-024 — traceability:outgoing[] and traceability:incoming[] link rendering,,,

Total 64 rows
Coverage: 0.0%
