Row ID,Row Title,requirement,implementation,test,document
ARC-021,ARC-021 — Path resolution for matrix-to-item links,REQ-037: REQ-037 — Matrix row items are clickable links; REQ-038: REQ-038 — Matrix cell items are clickable links; REQ-039: REQ-039 — Source file tooltips on matrix links; REQ-040: REQ-040 — Context-aware link generation; REQ-041: REQ-041 — Source file path normalization; REQ-042: REQ-042 — Backward compatibility without LinkResolver; REQ-043: REQ-043 — Non-HTML matrix outputs unchanged,,,
ARC-022,ARC-022 — Graph-to-Neo4j CSV and Cypher export,REQ-024: REQ-024 — Neo4j CSV export; REQ-025: REQ-025 — Neo4j Cypher export; REQ-027: REQ-027 — Export includes all item attributes; REQ-028: REQ-028 — Export is optional,,,
ARC-023,ARC-023 — Commander-based CLI with subcommands,REQ-026: REQ-026 — Export command in CLI; REQ-036: REQ-036 — CLI commands; REQ-056: REQ-056 — CLI next-id command returns next available ID,,,
ARC-003,ARC-003 — Processing flow during Antora build,REQ-001: REQ-001 — Single `item` macro replaces all block macros; REQ-002: REQ-002 — `item` macro accepts role attribute; REQ-004: REQ-004 — `item` macro supports block content; REQ-005: REQ-005 — Old macro syntax generates deprecation error; REQ-013: REQ-013 — Role-based relation validation; REQ-014: REQ-014 — Directional relation checking; REQ-016: REQ-016 — Warnings for unknown roles; REQ-017: REQ-017 — Graceful degradation for unknown roles; REQ-029: REQ-029 — Configurable matrix generation with coverage calculations; REQ-035: REQ-035 — Antora extension integration,,,
ARC-013,ARC-013 — ESM module system,QA-055: QA-055 — Zero operational overhead,,,
ARC-014,ARC-014 — Dependency injection by constructor,QA-059: QA-059 — Testability by design,,,
ARC-004,ARC-004 — Key architectural decisions and their rationale,REQ-001: REQ-001 — Single `item` macro replaces all block macros; REQ-010: REQ-010 — Configuration file location; REQ-006: REQ-006 — Configuration defines roles; REQ-007: REQ-007 — Configuration defines relations; REQ-008: REQ-008 — Configuration defines matrices; REQ-013: REQ-013 — Role-based relation validation; REQ-015: REQ-015 — Error messages list allowed relations; REQ-018: REQ-018 — Built-in preset configurations; REQ-024: REQ-024 — Neo4j CSV export; REQ-028: REQ-028 — Export is optional; REQ-029: REQ-029 — Configurable matrix generation with coverage calculations; REQ-034: REQ-034 — Mustache template rendering,,,

Total 22 rows
Coverage: 0.0%
