Row ID,Row Title,design
REQ-102,REQ-102 — Collapsible list-style output via document attribute,ARC-024: ARC-024 — traceability:outgoing[] and traceability:incoming[] link rendering
REQ-103,REQ-103 — Graph isolation per component version,ARC-016: ARC-016 — Event-driven Antora integration
REQ-104,REQ-104 — traceability:links[] macro renders combined outgoing and incoming links,ARC-024: ARC-024 — traceability:outgoing[] and traceability:incoming[] link rendering
REQ-055,REQ-055 — traceability:incoming[] macro renders incoming links,ARC-024: ARC-024 — traceability:outgoing[] and traceability:incoming[] link rendering
REQ-064,REQ-064 — Incoming macro respects document attributes,ARC-024: ARC-024 — traceability:outgoing[] and traceability:incoming[] link rendering
REQ-065,REQ-065 — Incoming macro display styles,ARC-024: ARC-024 — traceability:outgoing[] and traceability:incoming[] link rendering
REQ-066,REQ-066 — Incoming macro sort order,ARC-024: ARC-024 — traceability:outgoing[] and traceability:incoming[] link rendering
REQ-067,REQ-067 — Inverse relation type labels,ARC-024: ARC-024 — traceability:outgoing[] and traceability:incoming[] link rendering
REQ-068,REQ-068 — Incoming macro PDF compatibility,ARC-024: ARC-024 — traceability:outgoing[] and traceability:incoming[] link rendering
REQ-069,REQ-069 — Source file not modified by incoming macro,ARC-015: ARC-015 — In-memory processing with no side effects
REQ-070,REQ-070 — Incoming macro supports collapsible output,ARC-024: ARC-024 — traceability:outgoing[] and traceability:incoming[] link rendering
REQ-071,REQ-071 — Inverse labels are config-driven,ARC-018: ARC-018 — Config-driven validation
REQ-051,REQ-051 — Relationship graph via traceability:graph[] macro,ARC-025: ARC-025 — traceability:graph[] and traceability:graph-coverage[] visualization macros
REQ-052,REQ-052 — Coverage chart via traceability:graph-coverage[] macro,ARC-025: ARC-025 — traceability:graph[] and traceability:graph-coverage[] visualization macros
REQ-053,REQ-053 — Graph visualization methods on TraceabilityGraph,ARC-026: ARC-026 — GraphViz DOT and Vega-Lite serialization methods
REQ-054,REQ-054 — Dashboard page in example site,ARC-033: ARC-033 — Example site: config extension and dashboard patterns
REQ-063,REQ-063 — Configurable Kroki image format,ARC-025: ARC-025 — traceability:graph[] and traceability:graph-coverage[] visualization macros
REQ-109,REQ-109 — Circular reference detection in graph validation,ARC-028: ARC-028 — Circular reference detection in graph validation
REQ-056,REQ-056 — CLI next-id command returns next available ID,ARC-023: ARC-023 — Commander-based CLI with subcommands
REQ-093,REQ-093 — Devbox provides Ruby and Node.js for PDF builds,ARC-030: ARC-030 — CI/CD PDF build and deployment pipeline
REQ-094,REQ-094 — Gemfile locks asciidoctor-pdf version,ARC-030: ARC-030 — CI/CD PDF build and deployment pipeline
REQ-095,REQ-095 — PDF playbook generates PDF from example site,ARC-030: ARC-030 — CI/CD PDF build and deployment pipeline
REQ-096,REQ-096 — PDF extension is a dev dependency,ARC-030: ARC-030 — CI/CD PDF build and deployment pipeline
REQ-097,REQ-097 — Assembler profiles produce separate PDFs per document,ARC-030: ARC-030 — CI/CD PDF build and deployment pipeline
REQ-098,REQ-098 — Custom nav files select single documents,ARC-030: ARC-030 — CI/CD PDF build and deployment pipeline
REQ-099,REQ-099 — Single-PDF output is preserved,ARC-030: ARC-030 — CI/CD PDF build and deployment pipeline
REQ-060,REQ-060 — Pages workflow generates PDFs,ARC-030: ARC-030 — CI/CD PDF build and deployment pipeline
REQ-061,REQ-061 — Site links to PDF downloads,ARC-030: ARC-030 — CI/CD PDF build and deployment pipeline
REQ-062,REQ-062 — Local PDF workflow is unchanged,ARC-030: ARC-030 — CI/CD PDF build and deployment pipeline
REQ-108,REQ-108 — Matrix files synced to component _attachments,ARC-027: ARC-027 — Automatic matrix sync to component _attachments
REQ-072,REQ-072 — Landing page at GitHub Pages root,ARC-031: ARC-031 — Static landing page at GitHub Pages root
REQ-073,REQ-073 — Two-persona feature presentation,ARC-031: ARC-031 — Static landing page at GitHub Pages root
REQ-074,REQ-074 — Traceability visualization preview,ARC-031: ARC-031 — Static landing page at GitHub Pages root
REQ-075,REQ-075 — Deployment integration,ARC-031: ARC-031 — Static landing page at GitHub Pages root
REQ-076,REQ-076 — Minimal tooling,ARC-031: ARC-031 — Static landing page at GitHub Pages root
REQ-077,REQ-077 — Landing page uses conemso color palette,ARC-031: ARC-031 — Static landing page at GitHub Pages root
REQ-078,REQ-078 — Landing page uses Roboto font,ARC-031: ARC-031 — Static landing page at GitHub Pages root
REQ-079,REQ-079 — Non-heading elements with IDs are indexed as navigable anchors,ARC-032: ARC-032 — Lunr search extension customization for item anchor indexing
REQ-080,REQ-080 — Item title is extracted from `.title` child element,ARC-032: ARC-032 — Lunr search extension customization for item anchor indexing
REQ-081,REQ-081 — Heading elements are excluded from item indexing,ARC-032: ARC-032 — Lunr search extension customization for item anchor indexing
REQ-082,REQ-082 — Item indexing is scoped to article body,ARC-032: ARC-032 — Lunr search extension customization for item anchor indexing
REQ-105,REQ-105 — Use-case role extends self-traceability preset,ARC-033: ARC-033 — Example site: config extension and dashboard patterns
REQ-106,REQ-106 — Use-case page renders with traceability links,ARC-033: ARC-033 — Example site: config extension and dashboard patterns
REQ-107,REQ-107 — usecase-requirements matrix is generated,ARC-033: ARC-033 — Example site: config extension and dashboard patterns
QA-055,QA-055 — Zero operational overhead,ARC-016: ARC-016 — Event-driven Antora integration; ARC-013: ARC-013 — ESM module system
QA-056,QA-056 — Configurable without code changes,ARC-018: ARC-018 — Config-driven validation
QA-057,QA-057 — Fail-fast with clear diagnostics,ARC-018: ARC-018 — Config-driven validation
QA-058,QA-058 — No side effects on source files,ARC-015: ARC-015 — In-memory processing with no side effects
QA-059,QA-059 — Testability by design,ARC-014: ARC-014 — Dependency injection by constructor
QA-060,QA-060 — PDF compatibility of generated output,ARC-024: ARC-024 — traceability:outgoing[] and traceability:incoming[] link rendering
QA-061,QA-061 — Platform stability and longevity,
QA-062,QA-062 — Query and indexing performance,

Total 78 rows
Coverage: 97.4%
